,0
0,420296.34408214677
1,1091287.7076492554
2,1510137.6442506695
3,2289216.4882493503
4,2685541.0536455787
5,2405680.5260861474
6,3390764.4939114964
7,2073064.9358880906
8,393577.7021027245
9,1276243.2850256471
10,3274730.0355024557
11,1299914.9402407655
12,1577192.5846141847
13,1842272.5848529136
14,699407.1545744983
15,920180.6218435795
16,2052555.2491129308
17,245920.88869174718
18,752541.6536013811
19,466930.1020216178
20,197666.6500903205
21,752537.9154045966
22,378655.7483900056
23,517707.2600170371
24,1454449.7842179784
25,2800796.261899616
26,1162724.625797471
27,442994.28874326777
28,851937.987331827
29,1558650.5826878967
30,686583.5143737335
31,576114.1901512011
32,918253.05823569
33,1064613.3848992398
34,706757.5832414269
35,368397.48835388647
36,647989.9877794844
37,777251.4504432229
38,939285.2470519658
39,678967.1312593452
40,1995646.9897636403
41,264508.2050406508
42,934090.7607537142
43,282180.79150012194
44,862219.2836085164
45,563821.9254109721
46,1009310.4575236522
47,787785.9878107889
48,2268340.985466187
49,1367927.22596135
50,395368.36043891567
51,723243.6512354232
52,1980701.9396859992
53,921442.7583704113
54,123011.01299904542
55,1583161.286846291
56,473385.48167764815
57,1279193.2042860833
58,380539.8693796268
59,1065059.6249336668
60,168618.54345323835
61,780179.7972413896
62,1514436.7549159252
63,474513.1716402027
64,868272.409715236
65,779512.722367147
66,2538828.663213113
67,862840.9391469094
68,685631.9626570039
69,1742228.553078091
70,1502213.8936543153
71,1498704.2543857878
72,605820.198979992
73,1642322.8737293782
74,700212.5697668178
75,672665.1390816784
76,344961.07263578783
77,219374.44730260575
78,821756.8859836642
79,2105474.973227455
80,319163.5970896949
81,579607.5021061156
82,1322739.9308289622
83,445321.8957920707
84,423276.5799145028
85,128701.50619514062
86,585315.9197728502
87,168143.48873905017
88,907946.8253111894
89,671804.1329597463
90,1578938.133514073
91,2382152.765784354
92,180970.19897939594
93,2908713.261808121
94,605464.5159698263
95,495670.39406493236
96,673432.0908863918
97,1047844.5939122947
98,1510297.182959353
99,2595272.494947907
100,858980.6512583412
101,741948.6110782227
102,361938.7554987973
103,1208798.1449800523
104,501610.5387438462
105,702586.2345449703
106,3933165.306877856
107,426856.9400312005
108,1991300.1357554754
109,281327.39389013144
110,449208.36639694765
111,245411.94459924285
112,1596722.551221116
113,4613815.545836521
114,548004.7327054625
115,144208.9255247579
116,630040.6722124806
117,445632.8922332949
118,1849826.5518765585
119,895593.8271835916
120,1331863.1640228028
121,761060.5567126793
122,296704.5693009674
123,1416096.6559405955
124,819070.2251513572
125,317309.0926200761
126,657914.8164957715
127,534379.1625868707
128,1836520.305801656
129,2043245.8586883773
130,584549.3402632248
131,629415.918059334
132,353300.63041109615
133,2504289.6084654597
134,1337946.7259224528
135,339830.59918880987
136,360729.7853386252
137,1122607.73482727
138,514947.50522125553
139,2902081.279947091
140,1800668.5789738582
141,1214703.629456467
142,650975.1536433965
143,2065312.9383797422
144,529707.0489763307
145,1006704.1729001079
146,1036395.8079608151
147,1216161.1448705005
148,1087939.6978957416
149,953701.8750480176
150,844515.8714846713
151,1410946.0194523388
152,3324151.233048564
153,1611750.0908186736
154,1470748.4638113922
155,896768.1746604112
156,190673.90009137613
157,929506.650717957
158,894313.7557561732
159,696011.332624701
160,700212.5697668178
161,1413100.9096569517
162,649059.6304677835
163,1119681.6934572288
164,1201900.1182812576
165,2348667.1832941114
166,218481.6804013558
167,1091292.2170414235
168,857234.6249238879
169,714459.4970719644
170,1513926.1844375348
171,1294255.627963346
172,968765.7298697174
173,1814972.8913784316
174,519099.34528219275
175,877252.9547714479
176,567487.1719868853
177,2007500.8062309881
178,1067423.2465843528
179,1388156.4333465009
180,524603.0631149126
181,1856980.0645199628
182,883949.1703424351
183,386697.9651291684
184,416016.3791737598
185,1503434.8983431014
186,218798.488520097
187,890393.4496224704
188,539047.7024198129
189,752629.3485682528
190,838066.6286806368
191,890578.2769312644
192,2119036.7676652987
193,998174.797849114
194,461691.42472429486
195,412230.8560792978
196,659905.3183007528
197,4137029.446087717
198,435569.2062326755
199,584057.6053878227
200,552955.7335634019
201,743511.3136732675
202,1386623.6274529754
203,1426206.2901726484
204,429240.22135691706
205,689721.638912554
206,1424961.476111737
207,1272835.2115453796
208,781939.3740148155
209,772084.6130972288
210,1471355.2472179257
211,681009.1323691927
212,1591242.1140553388
213,1472405.6222218846
214,397026.09057680995
215,1800917.9021819516
216,1155018.6484725557
217,344417.9245342953
218,398152.54747829784
219,367808.36344123463
220,1534890.4180038497
221,976554.5332612682
222,992074.4492799767
223,755667.7513271719
224,394248.69627324486
225,404149.18541356083
226,558282.9741701849
227,2439160.030623963
228,917671.9414578083
229,1505102.9091084488
230,891302.8224337664
231,1021558.1815507375
232,861338.2596288777
233,494166.91475627216
234,1188922.9833644214
235,2596817.1078364206
236,590123.3094090879
237,273873.18419476686
238,1467672.3101296683
239,576031.6326939075
240,1927575.2402398395
241,897176.8665892844
242,941250.5345085154
243,909611.7419984288
244,4644638.171140359
245,400803.5240198091
246,1417420.0437930566
247,1455915.2340829328
248,237098.2328600412
249,1364636.8478442694
250,466689.80753975996
251,538869.1830387418
252,1188050.0080682272
253,583247.5047386836
254,2217893.2089816974
255,848415.0317711482
256,695598.0676189013
257,1564621.4356688715
258,301413.04019981116
259,2328838.1336941733
260,661247.2302361244
261,310313.91939332447
262,1209172.636127801
263,783844.4296619205
264,127456.78170689379
265,732316.532165403
266,410760.4072992827
267,432275.8947813945
268,1388690.3501399648
269,1216161.1448705005
270,574002.352907452
271,727716.6999340745
272,716488.8949128507
273,659794.0506052688
274,1829243.8711536457
275,338438.2664233737
276,403374.6285367375
277,1545768.4585536441
278,452798.61552120413
279,814033.299839049
280,1577134.3956951345
281,1489229.7469619797
282,930436.3452059544
283,1530026.680456835
284,1045982.4828192034
285,483173.0555412204
286,596584.2936985192
287,513722.1324473242
288,402195.9864209572
289,171567.2397004075
290,656953.6808018569
291,813847.5811757308
292,1519224.9759017713
293,1673907.8128399246
294,643875.8707339424
295,1189593.0947995288
296,749141.3668424003
297,436485.8748189509
298,1535794.9831043093
299,319264.21897736203
300,790760.00747845
301,1416096.6559405955
302,235658.99918874312
303,1732714.9232058472
304,1386598.1318170265
305,2034440.9466692526
306,129509.15709616164
307,711220.4933631261
308,690363.6086096277
309,953881.880612269
310,647607.1403232431
311,831046.343985909
312,518089.8655452897
313,522344.46374978963
314,526997.9061618722
315,901279.2497425542
316,739696.1551536474
317,918727.4100188354
318,1727678.7186209317
319,1461067.1422408035
320,1155243.5284600516
321,3999175.3201347175
322,895288.6726221852
323,1028762.4283371774
324,980513.7591611447
325,1511038.6120543412
326,231429.699669531
327,705362.3989715292
328,591182.991093922
329,579237.9416095567
330,989889.0845751003
331,310478.6183647634
332,1101157.3276398042
333,982465.8168574921
334,2569270.19071258
335,910906.7633859904
336,624470.4554956406
337,1436505.3933229917
338,707994.7493563646
339,1286712.5958321092
340,1702924.0011329644
341,748469.7920454921
342,1053305.8462249686
343,915085.8314642686
344,189169.19250112367
345,3148255.4605312296
346,373715.8903328033
347,1919404.2573391285
348,702093.6886052097
349,1432813.0962887134
350,501253.2634936836
351,399265.0718720086
352,769967.6786239308
353,1658712.932702459
354,652223.1868844876
355,900618.7323236201
356,507061.8373415274
357,1779346.2507398638
358,344311.50199030584
359,776855.8507188478
360,260394.60152780142
361,1004767.374719964
362,2402297.13992788
363,98221.68619194736
364,845850.2216732128
365,959981.2444060076
366,903408.3958221335
367,868826.7983406486
368,390616.28245639324
369,1317525.062898655
370,489392.79617984936
371,2380986.537724047
372,1503637.9649534936
373,730757.7076742593
374,759415.714323966
375,520962.2627698465
376,1650262.009189815
377,1117551.5594439013
378,859449.7552350808
379,135029.05013617425
380,819480.4469324833
381,146509.51456490203
382,893546.8876793099
383,725110.7551974221
384,415063.9791141472
385,1307720.5963374695
386,1507762.509448326
387,1242428.8317023807
388,535668.0581077049
389,1723103.834153438
390,880290.7889307869
391,1176379.4576209793
392,130098.26883838241
393,677101.6203385817
394,769957.0647820412
395,1083610.71111878
396,998681.5050015795
397,1065611.3466847038
398,866967.8759463932
399,598021.7437844168
400,1878207.4961968404
401,1369765.0371171557
402,245535.05374493485
403,1010991.5021451443
404,733680.6421619459
405,886538.1304133201
406,1246405.5313442226
407,2163083.129169485
408,556445.6583792174
409,281254.15550824144
410,1761929.34763101
411,1138774.6847463031
412,1968652.616390672
413,676033.259354249
414,1662606.8343196735
415,1394219.2139221446
416,1120986.659943158
417,1425285.2041465912
418,916433.4677433991
419,1781533.0134423685
420,473681.85546312586
421,213943.44857599126
422,1175272.194544206
423,646997.8148271927
424,231466.06939506912
425,654666.0325009046
426,701311.6810776246
427,895802.3010192768
428,544298.6327553368
429,790953.0020527492
430,1190164.2881301788
431,529272.4216836308
432,1000891.3155325819
433,1565729.8922988393
434,1387214.863264083
435,631681.7851622219
436,873280.9982641832
437,91154.25924340752
438,1710376.8838395174
439,4376951.75579614
440,102335.12628417302
441,1403711.2964324807
442,1261364.8444960532
443,411090.02113654156
444,519633.72043584695
445,1981557.843800126
446,71497.9767489976
447,720309.2437473068
448,536726.1067541301
449,109022.72307077628
450,867250.6582439693
451,1602447.4325926702
452,178165.10506817972
453,186674.2745274606
454,1871978.7421194534
455,141244.21537764647
456,635221.8425272545
457,880124.3784350656
458,707966.504765162
459,1451219.568926589
460,711167.501862686
461,469233.19963558443
462,730772.7256803724
463,856862.2773346021
464,2466117.9451077
465,126902.76604420632
466,879355.2695553981
467,209588.92082496948
468,1978100.7967089098
469,2103118.62603234
470,2612006.9992520795
471,2791413.962642454
472,104853.48514590412
473,1556827.4410127483
474,816708.9330183325
475,1854393.5180312097
476,825131.7513593837
477,507997.3062147627
478,1277593.8063575416
479,1814695.4999123714
480,235718.41906336343
481,1004401.5220201733
482,2310920.1995633715
483,1477661.2193596137
484,288742.66510527267
485,850098.85568483
486,849892.9722437373
487,318529.76434084674
488,1821284.8623128808
489,460941.7145230502
490,696793.1080124738
491,1526231.9617056027
492,828556.5311280482
493,2943588.7589719384
494,1580017.799210962
495,1278824.3930923855
496,699807.5183880253
497,262081.175821761
498,571154.7878589219
499,2021259.3505525894
500,555764.5888482124
501,1875223.6486321664
502,574114.1258603486
503,117142.1342720174
504,531121.8253618643
505,798899.1091829436
506,716362.3780109052
507,1593466.0898993658
508,640133.4558880917
509,1266185.6834748946
510,958174.5987080757
511,1902898.260668894
512,622136.5126660338
513,351931.14260610123
514,128972.04194669875
515,954970.4748807162
516,1308265.8929919992
517,3068117.216190729
518,729315.2926203224
519,742628.6532435219
520,3995999.766550208
521,1353901.646017493
522,1155647.6459287102
523,571919.0969931249
524,144232.79613211792
525,709875.7424907234
526,380451.42235887947
527,645476.2319600862
528,894060.2192926124
529,917829.6872438674
530,200660.0911503779
531,904673.1502005707
532,248564.07091721328
533,190216.8196543857
534,513981.6258348828
535,1676301.996645964
536,473609.34340082546
537,668280.5592711776
538,385458.5403269738
539,800709.1143225472
540,697850.3859908896
541,1633915.8370010324
542,930412.3708838644
543,404575.52561878844
544,225252.04180702136
545,3068945.928074616
546,911478.0608003396
547,976393.0864016475
548,190810.93302844415
549,874978.8078371697
550,649686.7532985403
551,867376.1504125433
552,1685033.064174927
553,1835301.3291620568
554,328241.20023886644
555,462567.59787014156
556,1589065.37124982
557,547127.5383576646
558,349116.0318299278
559,1356825.548962203
560,385091.62470273284
561,1516413.8237149948
562,405464.2157667827
563,300445.1485508545
564,422904.2176197408
565,810953.954257906
566,1514225.3190238853
567,342981.68900364503
568,1484130.6079325944
569,203963.57090807956
570,504768.73905866
571,1580146.1903831437
572,1106749.5646737984
573,1783534.149099667
574,1309564.2658567058
575,190729.69874850864
576,347020.6555233485
577,1277829.7678952534
578,655509.4275211673
579,2886881.6170885926
580,589918.3410973824
581,480801.3442277702
582,1144040.9893882647
583,702586.2345449703
584,203994.49063523355
585,110677.2731923698
586,289371.2928942322
587,989310.5418732398
588,839512.6251586434
589,1695549.7780086414
590,373281.4349335476
591,174053.97711826535
592,1288597.8981730696
593,842604.3413381537
594,1276330.5496685472
595,1101232.633777569
596,1639977.0066837464
597,699226.1752505394
598,695333.6040491003
599,833659.8125665933
600,1300305.3351170323
601,1439643.602101039
602,444575.32544466876
603,105293.63447808818
604,424372.4417606129
605,2500312.5485154544
606,695631.9210864044
607,1130048.305310894
608,1515564.439701249
609,855204.5211182447
610,1696209.6869464493
611,1126005.6777809346
612,990681.8995605883
613,3279287.4625988905
614,1134611.30230982
615,912043.1374050279
616,855539.9317253209
617,1653530.7600951053
618,751114.8065496893
619,614807.3583046439
620,1284331.7813492822
621,1553134.2255979287
622,1207166.023716458
623,701275.5544350992
624,1606911.3205481782
625,1379612.6906191034
626,2756877.7007970805
627,651119.8516819064
628,596417.5096282527
629,162920.00891262307
630,707966.504765162
631,703398.5322270901
632,768712.4534782191
633,720076.8579413531
634,863091.9702707998
635,196745.46583772145
636,2112940.0746863103
637,1754113.1095668112
638,4556249.639274282
639,1261364.8444960532
640,78469.61944382408
641,506170.93048591336
642,417353.39692750823
643,650755.190553614
644,1116679.3641625536
645,1195661.8279350754
646,407163.6625877856
647,681744.9415549196
648,239184.39573886053
649,2240475.2319512493
650,579231.9830901417
651,1102683.1876733517
652,413057.92218391615
653,809675.322954316
654,249994.56856564712
655,193460.66448421922
656,902672.1566917485
657,1420291.8819178601
658,1716475.1851546792
659,1486343.304550913
660,2428344.7641584864
661,1395041.6169028976
662,849936.5937882815
663,1541125.1031138785
664,361257.7584068046
665,1498457.5549215702
666,1366348.2376133297
667,1832580.394007992
668,2419777.3797073425
669,676471.971158643
670,115551.76697800988
671,331699.8166878047
672,251276.64952710454
673,1076105.5101650152
674,296456.3743177305
675,127539.104081194
676,180504.33476027186
677,1900753.8867483863
678,857234.6249238879
679,1525955.2601655582
680,586753.5652917112
681,790856.237381536
682,1010027.8667091449
683,592108.2106503979
684,650240.5454639936
685,626731.929609999
686,1040559.498543828
687,1693279.7480224515
688,971296.4588061839
689,947798.0596485499
690,813087.4477328233
691,117211.83435697595
692,707358.0142696088
693,609905.244394883
694,343890.278123564
695,1201900.1182812576
696,2916317.6628426164
697,438424.70808691677
698,1595054.6895965133
699,264433.4377254743
700,830144.5455091768
701,859048.7963418594
702,3601473.9261770626
703,1479505.5410642643
704,610547.2226630639
705,2236601.3800265947
706,1232135.6714124072
707,1541505.1379905974
708,1647415.156480907
709,1190390.166927025
710,999365.3703855189
711,1366431.4734007814
712,2472127.9563811254
713,967475.5790142887
714,4259468.835241225
715,711792.7602479907
716,3276369.881763409
717,580372.3365340821
718,391500.33604409813
719,1107791.0810855592
720,2422391.1981275766
721,603234.8205703667
722,914579.8880960696
723,1237922.8559287249
724,131057.09197086992
725,847193.907002943
726,812034.2595385527
727,1100931.367777569
728,113199.08161649214
729,1101232.633777569
730,335126.67900837015
731,865877.8537565635
732,168781.04116203988
733,1506358.3419401157
734,756121.4455789415
735,158775.05175745118
736,833625.5917905314
737,3385005.217016376
738,143344.75020995663
739,897609.3251999571
740,498864.5999124645
741,716628.4676487555
742,1338817.6275738976
743,1554705.4441901143
744,2865517.802270838
745,1579424.4745463058
746,169413.40565811627
747,1493981.9551704621
748,364146.17828900734
749,565939.7965219103
750,937679.7347271804
751,939469.7659327688
752,2191744.628477848
753,1664100.5260495422
754,695225.363825251
755,1244024.3032174413
756,1289790.503325975
757,964823.808113686
758,777009.4239550919
759,445966.48920612363
760,707368.0521749826
761,1987222.8833149998
762,335643.3349329027
763,692332.0646111905
764,572146.1252957467
765,1865828.4344111183
766,867117.2543877923
767,2048975.747189377
768,706716.7324335322
769,227375.98011862423
770,359945.36177333
771,150510.85756156614
772,1852176.2942857346
773,381836.1487080162
774,850714.7302667045
775,2309555.434255747
776,283456.1616462653
777,1529739.717197756
778,919223.454968239
779,912845.8525877956
780,1373503.2216643104
781,440857.83263333346
782,1161041.9360988082
783,1547944.231728787
784,780302.0470870007
785,1442233.5081116036
786,1399570.4104865666
787,1815002.328329859
788,579542.3037609241
789,847830.3282326503
790,590503.7750863999
791,785165.0937615522
792,659647.4290709053
793,449564.49851068814
794,1437562.7089016456
795,137231.18778660108
796,798426.8272665594
797,315102.2894858718
798,1209217.9561068262
799,124951.01561852422
800,825400.3578335341
801,201929.63255996376
802,833525.5024846523
803,1602598.4470648887
804,579231.9830901417
805,905239.9294220408
806,491517.7482265888
807,1633502.8941971047
808,889620.4093704164
809,1427771.7204237275
810,1211017.1729948274
811,1191929.864997611
812,647877.4251372336
813,338511.64095413196
814,759092.1227030578
815,606243.0221835728
816,587464.142043669
817,1064789.9581136713
818,831045.3443080123
819,1579694.9296222248
820,2835637.610471343
821,1208062.2801597693
822,2284202.000520534
823,1428430.2808268568
824,2065451.6593361653
825,1128795.0057019053
826,1366974.1764852894
827,558746.5682162647
828,925889.8054979492
829,1462031.388968647
830,784135.0128059702
831,2015549.2597428786
832,629183.8954641813
833,336178.7862999644
834,1455041.8438128948
835,622263.4900175437
836,891441.4960888643
837,671278.7006365111
838,1669473.3420574141
839,217029.8633643204
840,1592979.0898876393
841,4197728.403174467
842,1022179.7610947178
843,3246743.704135661
844,936615.8820618885
845,894837.5961720768
846,2493910.676814708
847,1453635.7995983525
848,524993.9052674324
849,409599.48576935654
850,868206.7570253888
851,894421.560899744
852,914078.8422064942
853,940042.8006157788
854,1352989.9212523575
855,448910.68073333334
856,1157418.4982116816
857,1301316.3316892195
858,423674.1931093058
859,1106082.2099684812
860,2019931.329358439
861,2837491.7997029545
862,919361.4215411543
863,381181.5755617914
864,909996.8077124708
865,789884.8021883111
866,990642.8140169535
867,367313.956280123
868,553601.6527455479
869,1868093.5062539717
870,2396526.0743836695
871,1778629.6317055936
872,487719.162312091
873,656405.8695150198
874,640497.1603955827
875,3399111.7872070884
876,1175435.0159472125
877,1362330.0747236041
878,728514.6309616525
879,371778.6025937397
880,863322.4524866133
881,325063.85948477325
882,1782967.1659427031
883,453233.17238808825
884,899968.5086949959
885,726372.4951808023
886,637802.7783037991
887,665516.650036346
888,545581.3749568396
889,2458502.391329868
890,1060679.9473564946
891,1398041.7268404507
892,426333.40300859493
893,1334743.4708508735
894,1064216.160435873
895,943328.3558472288
896,882416.3235479925
897,647467.6196468573
898,751080.6738030026
899,1164776.563958916
900,1577407.113199437
901,652036.8216597103
902,1940683.5113051517
903,629272.7357446937
904,873297.4571394306
905,2524203.7437643013
906,793306.7565617757
907,542068.3657977076
908,1179104.598463993
909,828632.1986693257
910,2357186.942937846
911,752322.0406092429
912,692838.2582277688
913,1005418.357811707
914,452013.6806352328
915,1372968.0580221806
916,744120.5323618768
917,452806.466744382
918,854688.2216493209
919,1486834.997817683
920,560647.2389967382
921,329135.45046403643
922,844573.6406025151
923,440315.0185429682
924,935513.3705468222
925,851652.926563738
926,364685.7094129114
927,363055.4601932518
928,1160055.9915441147
929,398611.12491642387
930,2008247.2457479017
931,808484.9175362537
932,530464.2543827167
933,677277.7320241189
934,809282.6157545726
935,1205825.6572685745
936,1090108.147226215
937,592458.2958978487
938,572166.9824324107
939,672825.900671256
940,1258681.2841063386
941,1116037.3182807853
942,410874.5204357116
943,1922589.4086152115
944,1198992.571504826
945,945908.9447959972
946,795488.3515567365
947,505939.24795311573
948,411706.72264931555
949,2639779.1341533153
950,3646963.3086365983
951,2671958.0580717963
952,1067313.403258002
953,1286528.4759728515
954,1288511.6067445197
955,681898.151492918
956,418147.843389839
957,935470.5795196111
958,1131429.4859619003
959,267230.4867787546
960,2299055.985621702
961,487244.0744616798
962,230530.83746536454
963,1819785.1587947065
964,383110.15424860734
965,377606.0425422669
966,1321179.1043114378
967,1987769.7541631248
968,1107974.3716168357
969,110251.39290153781
970,412010.5843095032
971,515005.30830247496
972,1338025.3106843191
973,1416433.1721079282
